operon,number,start,end,gene,strand,direction,strain,CDS_identifier,hamburger_CDS_identifier
AY424360_i4b,10,12861,13541,TssJ,forward,1,AY424360_i4b,NHJLEJIP_00013,AY424360_i4b_13
AY424360_i4b,11,13640,15028,TssK,forward,1,AY424360_i4b,NHJLEJIP_00014,AY424360_i4b_14
AY424360_i4b,12,15025,15675,TssL,forward,1,AY424360_i4b,NHJLEJIP_00015,AY424360_i4b_15
AY424360_i4b,13,15672,19454,TssM,forward,1,AY424360_i4b,NHJLEJIP_00016,AY424360_i4b_16
FJ790776_i1,1,1,792,TssL,reverse,-1,FJ790776_i1,AMFCDJKJ_00003,FJ790776_i1_3
FJ790776_i1,2,789,2114,TssK,reverse,-1,FJ790776_i1,AMFCDJKJ_00004,FJ790776_i1_4
FJ790776_i1,3,2126,2626,TssJ,reverse,-1,FJ790776_i1,AMFCDJKJ_00005,FJ790776_i1_5
FJ790776_i1,4,2619,4112,Non-model,reverse,-1,FJ790776_i1,AMFCDJKJ_00006,FJ790776_i1_6
FJ790776_i1,5,4122,4769,Non-model,reverse,-1,FJ790776_i1,AMFCDJKJ_00007,FJ790776_i1_7
FJ790776_i1,6,5273,6586,TssA,forward,1,FJ790776_i1,AMFCDJKJ_00008,FJ790776_i1_8
FJ790776_i1,7,6614,10003,TssM,forward,1,FJ790776_i1,AMFCDJKJ_00009,FJ790776_i1_9
FJ790776_i1,8,10035,10487,Non-model,forward,1,FJ790776_i1,AMFCDJKJ_00010,FJ790776_i1_10
FJ790776_i1,9,10542,11063,TssG,reverse,-1,FJ790776_i1,AMFCDJKJ_00011,FJ790776_i1_11
FJ790776_i1,10,11050,11550,TssG,reverse,-1,FJ790776_i1,AMFCDJKJ_00012,FJ790776_i1_12
FJ790776_i1,11,11547,11786,TssF,reverse,-1,FJ790776_i1,AMFCDJKJ_00013,FJ790776_i1_13
FJ790776_i1,12,11866,13401,TssF,reverse,-1,FJ790776_i1,AMFCDJKJ_00014,FJ790776_i1_14
FJ790776_i1,13,13412,13822,TssE,reverse,-1,FJ790776_i1,AMFCDJKJ_00015,FJ790776_i1_15
FJ790776_i1,14,13884,15359,TssC,reverse,-1,FJ790776_i1,AMFCDJKJ_00016,FJ790776_i1_16
FJ790776_i1,15,15368,15874,TssB,reverse,-1,FJ790776_i1,AMFCDJKJ_00017,FJ790776_i1_17
FJ790776_i1,16,15901,17565,TssA,reverse,-1,FJ790776_i1,AMFCDJKJ_00018,FJ790776_i1_18
FJ790776_i1,17,17552,19552,Non-model,reverse,-1,FJ790776_i1,AMFCDJKJ_00019,FJ790776_i1_19
FJ790776_i1,18,19790,20734,Non-model,reverse,-1,FJ790776_i1,AMFCDJKJ_00020,FJ790776_i1_20
FJ790776_i1,19,20727,20972,Non-model,reverse,-1,FJ790776_i1,AMFCDJKJ_00021,FJ790776_i1_21
FJ790776_i1,20,20972,21718,Non-model,reverse,-1,FJ790776_i1,AMFCDJKJ_00022,FJ790776_i1_22
FJ790776_i1,21,21699,23018,Non-model,reverse,-1,FJ790776_i1,AMFCDJKJ_00023,FJ790776_i1_23
FJ790776_i1,22,23113,23595,Non-model,reverse,-1,FJ790776_i1,AMFCDJKJ_00024,FJ790776_i1_24
FJ790776_i1,23,23598,25676,TssI,reverse,-1,FJ790776_i1,AMFCDJKJ_00025,FJ790776_i1_25
FJ790776_i1,24,25749,26267,TssD,reverse,-1,FJ790776_i1,AMFCDJKJ_00026,FJ790776_i1_26
FJ790776_i1,25,26718,29402,TssH,forward,1,FJ790776_i1,AMFCDJKJ_00027,FJ790776_i1_27
FJ790777_i5,1,1,180,TssJ,forward,1,FJ790777_i5,EBHLLIDF_00010,FJ790777_i5_10
FJ790777_i5,2,212,415,TssJ,forward,1,FJ790777_i5,EBHLLIDF_00011,FJ790777_i5_11
FJ790777_i5,3,437,1762,TssK,forward,1,FJ790777_i5,EBHLLIDF_00012,FJ790777_i5_12
FJ790777_i5,4,1774,3066,TssL,forward,1,FJ790777_i5,EBHLLIDF_00013,FJ790777_i5_13
FJ790777_i5,5,3083,6601,TssM,forward,1,FJ790777_i5,EBHLLIDF_00014,FJ790777_i5_14
FJ790777_i5,6,6583,7278,Non-model,forward,1,FJ790777_i5,EBHLLIDF_00015,FJ790777_i5_15
FJ790777_i5,7,7288,8082,Non-model,forward,1,FJ790777_i5,EBHLLIDF_00016,FJ790777_i5_16
FJ790777_i5,8,8075,9190,TssA,forward,1,FJ790777_i5,EBHLLIDF_00017,FJ790777_i5_17
FJ790777_i5,9,9206,9736,TssB,forward,1,FJ790777_i5,EBHLLIDF_00018,FJ790777_i5_18
FJ790777_i5,10,9736,11229,TssC,forward,1,FJ790777_i5,EBHLLIDF_00019,FJ790777_i5_19
FJ790777_i5,11,11282,12793,TssC,forward,1,FJ790777_i5,EBHLLIDF_00020,FJ790777_i5_20
FJ790777_i5,12,12804,13598,Non-model,forward,1,FJ790777_i5,EBHLLIDF_00021,FJ790777_i5_21
FJ790777_i5,13,13606,14070,TssE,forward,1,FJ790777_i5,EBHLLIDF_00022,FJ790777_i5_22
FJ790777_i5,14,14067,15890,TssF,forward,1,FJ790777_i5,EBHLLIDF_00023,FJ790777_i5_23
FJ790777_i5,15,15887,16555,TssG,forward,1,FJ790777_i5,EBHLLIDF_00024,FJ790777_i5_24
FJ790777_i5,16,16522,16851,TssG,forward,1,FJ790777_i5,EBHLLIDF_00025,FJ790777_i5_25
FJ790777_i5,17,16862,19429,TssH,forward,1,FJ790777_i5,EBHLLIDF_00026,FJ790777_i5_26
FJ790777_i5,18,19638,20117,TssD,forward,1,FJ790777_i5,EBHLLIDF_00027,FJ790777_i5_27
FJ790777_i5,19,20167,21099,TssI,forward,1,FJ790777_i5,EBHLLIDF_00028,FJ790777_i5_28
FJ790777_i5,20,21069,22094,TssI,forward,1,FJ790777_i5,EBHLLIDF_00029,FJ790777_i5_29
GCA_000513215.1_DB11_genomic,1,1,1077,TssL,reverse,-1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02235,GCA_000513215.1_DB11_genomic_2197
GCA_000513215.1_DB11_genomic,2,1074,1964,Non-model,reverse,-1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02236,GCA_000513215.1_DB11_genomic_2198
GCA_000513215.1_DB11_genomic,3,2110,2691,Non-model,reverse,-1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02237,GCA_000513215.1_DB11_genomic_2199
GCA_000513215.1_DB11_genomic,4,2694,3044,Non-model,reverse,-1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02238,GCA_000513215.1_DB11_genomic_2200
GCA_000513215.1_DB11_genomic,5,4382,4597,Non-model,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02239,GCA_000513215.1_DB11_genomic_2201
GCA_000513215.1_DB11_genomic,6,4795,5214,Non-model,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02240,GCA_000513215.1_DB11_genomic_2202
GCA_000513215.1_DB11_genomic,7,5300,6331,Non-model,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02241,GCA_000513215.1_DB11_genomic_2203
GCA_000513215.1_DB11_genomic,8,6366,7013,Non-model,reverse,-1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02242,GCA_000513215.1_DB11_genomic_2204
GCA_000513215.1_DB11_genomic,9,7111,8043,Non-model,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02243,GCA_000513215.1_DB11_genomic_2205
GCA_000513215.1_DB11_genomic,10,8556,10895,TssI,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02244,GCA_000513215.1_DB11_genomic_2206
GCA_000513215.1_DB11_genomic,11,10906,11295,Non-model,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02245,GCA_000513215.1_DB11_genomic_2207
GCA_000513215.1_DB11_genomic,12,11397,11897,Non-model,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02246,GCA_000513215.1_DB11_genomic_2208
GCA_000513215.1_DB11_genomic,13,12069,14621,Non-model,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02247,GCA_000513215.1_DB11_genomic_2209
GCA_000513215.1_DB11_genomic,14,14618,15685,Non-model,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02248,GCA_000513215.1_DB11_genomic_2210
GCA_000513215.1_DB11_genomic,15,15716,16351,Non-model,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02249,GCA_000513215.1_DB11_genomic_2211
GCA_000513215.1_DB11_genomic,16,16368,16760,Non-model,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02250,GCA_000513215.1_DB11_genomic_2212
GCA_000513215.1_DB11_genomic,17,16809,17309,Non-model,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02251,GCA_000513215.1_DB11_genomic_2213
GCA_000513215.1_DB11_genomic,18,17339,17869,TssJ,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02252,GCA_000513215.1_DB11_genomic_2214
GCA_000513215.1_DB11_genomic,19,17910,19256,TssK,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02253,GCA_000513215.1_DB11_genomic_2215
GCA_000513215.1_DB11_genomic,20,19278,20480,TssL,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02254,GCA_000513215.1_DB11_genomic_2216
GCA_000513215.1_DB11_genomic,21,20480,24115,TssM,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02255,GCA_000513215.1_DB11_genomic_2217
GCA_000513215.1_DB11_genomic,22,24134,24853,Non-model,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02256,GCA_000513215.1_DB11_genomic_2218
GCA_000513215.1_DB11_genomic,23,24877,25908,TssA,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02257,GCA_000513215.1_DB11_genomic_2219
GCA_000513215.1_DB11_genomic,24,26029,26565,TssB,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02258,GCA_000513215.1_DB11_genomic_2220
GCA_000513215.1_DB11_genomic,25,26569,28074,TssC,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02259,GCA_000513215.1_DB11_genomic_2221
GCA_000513215.1_DB11_genomic,26,28142,28525,Non-model,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02260,GCA_000513215.1_DB11_genomic_2222
GCA_000513215.1_DB11_genomic,27,28522,29013,Non-model,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02261,GCA_000513215.1_DB11_genomic_2223
GCA_000513215.1_DB11_genomic,28,29664,30146,TssD,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02262,GCA_000513215.1_DB11_genomic_2224
GCA_000513215.1_DB11_genomic,29,30662,31036,Non-model,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02263,GCA_000513215.1_DB11_genomic_2225
GCA_000513215.1_DB11_genomic,30,31922,33664,Non-model,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02264,GCA_000513215.1_DB11_genomic_2226
GCA_000513215.1_DB11_genomic,31,33664,34437,Non-model,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02265,GCA_000513215.1_DB11_genomic_2227
GCA_000513215.1_DB11_genomic,32,34466,35452,Non-model,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02266,GCA_000513215.1_DB11_genomic_2228
GCA_000513215.1_DB11_genomic,33,35468,36289,Non-model,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02267,GCA_000513215.1_DB11_genomic_2229
GCA_000513215.1_DB11_genomic,34,36292,36867,TssE,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02268,GCA_000513215.1_DB11_genomic_2230
GCA_000513215.1_DB11_genomic,35,36872,38758,TssF,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02269,GCA_000513215.1_DB11_genomic_2231
GCA_000513215.1_DB11_genomic,36,38755,39825,TssG,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02270,GCA_000513215.1_DB11_genomic_2232
GCA_000513215.1_DB11_genomic,37,39882,42536,TssH,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02271,GCA_000513215.1_DB11_genomic_2233
GCA_000513215.1_DB11_genomic,38,42586,44031,Non-model,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02272,GCA_000513215.1_DB11_genomic_2234
GCA_000513215.1_DB11_genomic,39,44174,46102,TssI,forward,1,GCA_000513215.1_DB11_genomic,CBPCNJMM_02273,GCA_000513215.1_DB11_genomic_2235
JF766712_i3,1,1,2190,TssI,reverse,-1,JF766712_i3,BNDMNNDK_00010,JF766712_i3_10
JF766712_i3,2,2668,3105,Non-model,reverse,-1,JF766712_i3,BNDMNNDK_00011,JF766712_i3_11
JF766712_i3,3,3132,3518,Non-model,reverse,-1,JF766712_i3,BNDMNNDK_00012,JF766712_i3_12
JF766712_i3,4,3676,4137,Non-model,reverse,-1,JF766712_i3,BNDMNNDK_00013,JF766712_i3_13
JF766712_i3,5,4122,4592,Non-model,reverse,-1,JF766712_i3,BNDMNNDK_00014,JF766712_i3_14
JF766712_i3,6,4696,5169,Non-model,reverse,-1,JF766712_i3,BNDMNNDK_00015,JF766712_i3_15
JF766712_i3,7,5154,5624,Non-model,reverse,-1,JF766712_i3,BNDMNNDK_00016,JF766712_i3_16
JF766712_i3,8,5667,6434,Non-model,reverse,-1,JF766712_i3,BNDMNNDK_00017,JF766712_i3_17
JF766712_i3,9,6434,8353,TssM,reverse,-1,JF766712_i3,BNDMNNDK_00018,JF766712_i3_18
JF766712_i3,10,8319,10295,TssM,reverse,-1,JF766712_i3,BNDMNNDK_00019,JF766712_i3_19
JF766712_i3,11,10532,11026,Non-model,reverse,-1,JF766712_i3,BNDMNNDK_00020,JF766712_i3_20
JF766712_i3,12,11058,11807,Non-model,reverse,-1,JF766712_i3,BNDMNNDK_00021,JF766712_i3_21
JF766712_i3,13,11812,13113,TssL,reverse,-1,JF766712_i3,BNDMNNDK_00022,JF766712_i3_22
JF766712_i3,14,13110,14453,TssK,reverse,-1,JF766712_i3,BNDMNNDK_00023,JF766712_i3_23
JF766712_i3,15,14457,14993,TssJ,reverse,-1,JF766712_i3,BNDMNNDK_00024,JF766712_i3_24
JF766712_i3,16,15060,15545,TssD,reverse,-1,JF766712_i3,BNDMNNDK_00025,JF766712_i3_25
JF766712_i3,17,15782,16207,Non-model,reverse,-1,JF766712_i3,BNDMNNDK_00026,JF766712_i3_26
JF766712_i3,18,16179,16580,Non-model,reverse,-1,JF766712_i3,BNDMNNDK_00027,JF766712_i3_27
JF766712_i3,19,16633,17838,TssC,reverse,-1,JF766712_i3,BNDMNNDK_00028,JF766712_i3_28
JF766712_i3,20,18001,18141,Non-model,reverse,-1,JF766712_i3,BNDMNNDK_00029,JF766712_i3_29
JF766712_i3,21,18165,18707,TssB,reverse,-1,JF766712_i3,BNDMNNDK_00030,JF766712_i3_30
JF766712_i3,22,18771,19061,Non-model,reverse,-1,JF766712_i3,BNDMNNDK_00031,JF766712_i3_31
JF766712_i3,23,19064,19162,Non-model,reverse,-1,JF766712_i3,BNDMNNDK_00032,JF766712_i3_32
JF766712_i3,24,19147,21810,TssH,reverse,-1,JF766712_i3,BNDMNNDK_00033,JF766712_i3_33
JF766712_i3,25,22178,23080,Non-model,forward,1,JF766712_i3,BNDMNNDK_00034,JF766712_i3_34
JF766712_i3,26,23067,23891,Non-model,forward,1,JF766712_i3,BNDMNNDK_00035,JF766712_i3_35
JF766712_i3,27,23888,24382,TssE,forward,1,JF766712_i3,BNDMNNDK_00036,JF766712_i3_36
JF766712_i3,28,24398,26281,TssF,forward,1,JF766712_i3,BNDMNNDK_00037,JF766712_i3_37
JF766712_i3,29,26278,27273,TssG,forward,1,JF766712_i3,BNDMNNDK_00038,JF766712_i3_38
JF766712_i3,30,27284,27706,TssA,forward,1,JF766712_i3,BNDMNNDK_00039,JF766712_i3_39
JF766712_i3,31,27706,28338,TssA,forward,1,JF766712_i3,BNDMNNDK_00040,JF766712_i3_40
JX436460_i1,1,119,634,TssD,forward,1,JX436460_i1,CPKKODCL_00003,JX436460_i1_3
JX436460_i1,2,889,1662,TssL,reverse,-1,JX436460_i1,CPKKODCL_00004,JX436460_i1_4
JX436460_i1,3,1659,3056,TssK,reverse,-1,JX436460_i1,CPKKODCL_00005,JX436460_i1_5
JX436460_i1,4,3066,3512,TssJ,reverse,-1,JX436460_i1,CPKKODCL_00006,JX436460_i1_6
JX436460_i1,5,3638,4885,Non-model,forward,1,JX436460_i1,CPKKODCL_00007,JX436460_i1_7
JX436460_i1,6,4954,5439,TssB,forward,1,JX436460_i1,CPKKODCL_00008,JX436460_i1_8
JX436460_i1,7,5441,6895,TssC,forward,1,JX436460_i1,CPKKODCL_00009,JX436460_i1_9
JX436460_i1,8,6898,7290,TssE,forward,1,JX436460_i1,CPKKODCL_00010,JX436460_i1_10
JX436460_i1,9,7287,9008,TssF,forward,1,JX436460_i1,CPKKODCL_00011,JX436460_i1_11
JX436460_i1,10,9005,9913,TssG,forward,1,JX436460_i1,CPKKODCL_00012,JX436460_i1_12
JX436460_i1,11,10063,12579,TssI,forward,1,JX436460_i1,CPKKODCL_00013,JX436460_i1_13
KC432605_i4b,1,1,504,TssB,forward,1,KC432605_i4b,AMAFBPAN_00003,KC432605_i4b_3
KC432605_i4b,2,497,1978,TssC,forward,1,KC432605_i4b,AMAFBPAN_00004,KC432605_i4b_4
KC432605_i4b,3,2028,2531,TssD,forward,1,KC432605_i4b,AMAFBPAN_00005,KC432605_i4b_5
KC432605_i4b,4,2611,3087,TssE,forward,1,KC432605_i4b,AMAFBPAN_00006,KC432605_i4b_6
KC432605_i4b,5,3104,4915,TssF,forward,1,KC432605_i4b,AMAFBPAN_00007,KC432605_i4b_7
KC432605_i4b,6,4879,5877,TssG,forward,1,KC432605_i4b,AMAFBPAN_00008,KC432605_i4b_8
KC432605_i4b,7,5874,7286,Non-model,forward,1,KC432605_i4b,AMAFBPAN_00009,KC432605_i4b_9
KC432605_i4b,8,7317,11156,TssM,forward,1,KC432605_i4b,AMAFBPAN_00010,KC432605_i4b_10
KC432605_i4b,9,11194,12177,Non-model,forward,1,KC432605_i4b,AMAFBPAN_00011,KC432605_i4b_11
KC432605_i4b,10,12155,12922,TssL,forward,1,KC432605_i4b,AMAFBPAN_00012,KC432605_i4b_12
KC432605_i4b,11,12939,13202,Non-model,forward,1,KC432605_i4b,AMAFBPAN_00013,KC432605_i4b_13
KC432605_i4b,12,13423,16104,TssH,forward,1,KC432605_i4b,AMAFBPAN_00014,KC432605_i4b_14
KC432605_i4b,13,16126,17220,TssA,forward,1,KC432605_i4b,AMAFBPAN_00015,KC432605_i4b_15
KC432605_i4b,14,17237,18601,TssK,forward,1,KC432605_i4b,AMAFBPAN_00016,KC432605_i4b_16
KC432605_i4b,15,18619,19425,TssL,forward,1,KC432605_i4b,AMAFBPAN_00017,KC432605_i4b_17
KF678349_i2,1,1,501,TssB,forward,1,KF678349_i2,EFFFGDJM_00001,KF678349_i2_1
KF678349_i2,2,560,2098,TssC,forward,1,KF678349_i2,EFFFGDJM_00002,KF678349_i2_2
KF678349_i2,3,2116,3453,TssK,forward,1,KF678349_i2,EFFFGDJM_00003,KF678349_i2_3
KF678349_i2,4,3450,4115,TssL,forward,1,KF678349_i2,EFFFGDJM_00004,KF678349_i2_4
KF678349_i2,5,4128,5780,TssL,forward,1,KF678349_i2,EFFFGDJM_00005,KF678349_i2_5
KF678349_i2,6,5838,6329,TssD,forward,1,KF678349_i2,EFFFGDJM_00006,KF678349_i2_6
KF678349_i2,7,6521,9166,TssH,forward,1,KF678349_i2,EFFFGDJM_00007,KF678349_i2_7
KF678349_i2,8,9178,11658,TssI,forward,1,KF678349_i2,EFFFGDJM_00008,KF678349_i2_8
KF678349_i2,9,11678,13447,Non-model,forward,1,KF678349_i2,EFFFGDJM_00009,KF678349_i2_9
KF678349_i2,10,13422,14132,Non-model,forward,1,KF678349_i2,EFFFGDJM_00010,KF678349_i2_10
KF678349_i2,11,14223,14516,Non-model,forward,1,KF678349_i2,EFFFGDJM_00011,KF678349_i2_11
KF678349_i2,12,14980,15240,Non-model,forward,1,KF678349_i2,EFFFGDJM_00012,KF678349_i2_12
KF678349_i2,13,15242,16378,Non-model,forward,1,KF678349_i2,EFFFGDJM_00013,KF678349_i2_13
KF678349_i2,14,16388,19741,TssM,forward,1,KF678349_i2,EFFFGDJM_00014,KF678349_i2_14
KF678349_i2,15,19707,21344,TssA,forward,1,KF678349_i2,EFFFGDJM_00015,KF678349_i2_15
KF678349_i2,16,21350,22927,Non-model,forward,1,KF678349_i2,EFFFGDJM_00016,KF678349_i2_16
KF678349_i2,17,23002,23556,Non-model,forward,1,KF678349_i2,EFFFGDJM_00017,KF678349_i2_17
KF678349_i2,18,23813,24256,Non-model,forward,1,KF678349_i2,EFFFGDJM_00018,KF678349_i2_18
KF678349_i2,19,24626,26386,TssF,forward,1,KF678349_i2,EFFFGDJM_00019,KF678349_i2_19
KF678349_i2,20,26350,27429,TssG,forward,1,KF678349_i2,EFFFGDJM_00020,KF678349_i2_20
KF678349_i2,21,27410,27814,TssJ,forward,1,KF678349_i2,EFFFGDJM_00021,KF678349_i2_21
KF678349_i2,22,27950,28378,TssE,forward,1,KF678349_i2,EFFFGDJM_00022,KF678349_i2_22
KF678349_i2,23,28378,29754,TssA,forward,1,KF678349_i2,EFFFGDJM_00023,KF678349_i2_23
NC_002506_i1,1,1,507,TssB,forward,1,NC_002506_i1,JFFPFAFG_00005,NC_002506_i1_5
NC_002506_i1,2,548,2026,TssC,forward,1,NC_002506_i1,JFFPFAFG_00006,NC_002506_i1_6
NC_002506_i1,3,2029,2466,TssE,forward,1,NC_002506_i1,JFFPFAFG_00007,NC_002506_i1_7
NC_002506_i1,4,2472,4241,TssF,forward,1,NC_002506_i1,JFFPFAFG_00008,NC_002506_i1_8
NC_002506_i1,5,4205,5221,TssG,forward,1,NC_002506_i1,JFFPFAFG_00009,NC_002506_i1_9
NC_002506_i1,6,5224,6711,Non-model,forward,1,NC_002506_i1,JFFPFAFG_00010,NC_002506_i1_10
NC_002506_i1,7,6714,7190,TssJ,forward,1,NC_002506_i1,JFFPFAFG_00011,NC_002506_i1_11
NC_002506_i1,8,7197,8531,TssK,forward,1,NC_002506_i1,JFFPFAFG_00012,NC_002506_i1_12
NC_002506_i1,9,8534,9307,TssL,forward,1,NC_002506_i1,JFFPFAFG_00013,NC_002506_i1_13
NC_002506_i1,10,9333,11942,TssH,forward,1,NC_002506_i1,JFFPFAFG_00014,NC_002506_i1_14
NC_002506_i1,11,11945,13537,Non-model,forward,1,NC_002506_i1,JFFPFAFG_00015,NC_002506_i1_15
NC_002506_i1,12,13534,14190,Non-model,forward,1,NC_002506_i1,JFFPFAFG_00016,NC_002506_i1_16
NC_002506_i1,13,14200,15609,TssA,forward,1,NC_002506_i1,JFFPFAFG_00017,NC_002506_i1_17
NC_002506_i1,14,15625,19170,TssM,forward,1,NC_002506_i1,JFFPFAFG_00018,NC_002506_i1_18
NC_002506_i1,15,19221,20483,TssA,forward,1,NC_002506_i1,JFFPFAFG_00019,NC_002506_i1_19
NC_002506_i1,16,20736,23789,TssI,forward,1,NC_002506_i1,JFFPFAFG_00020,NC_002506_i1_20
NC_002516_i1,1,1,1557,TssA,forward,1,NC_002516_i1,IIJBHIFF_00006,NC_002516_i1_6
NC_002516_i1,2,1593,2099,TssB,forward,1,NC_002516_i1,IIJBHIFF_00007,NC_002516_i1_7
NC_002516_i1,3,2128,3603,TssC,forward,1,NC_002516_i1,IIJBHIFF_00008,NC_002516_i1_8
